"No.","Time","Source","Destination","Protocol","Length","Info"
"4721","27.933612903","10.9.2.132","157.240.195.56","TCP","4170","41722  >  443 [PSH, ACK] Seq=30613 Ack=4144 Win=8292 Len=4104 TSval=1553728747 TSecr=2428180432 [TCP segment of a reassembled PDU]"
"4722","27.934090976","10.9.2.132","157.240.195.56","TLSv1.2","1919","Application Data"
"5342","28.151224467","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"5438","28.226089695","10.9.2.132","157.240.195.56","TLSv1.2","96","Application Data"
"5439","28.226101863","10.9.2.132","157.240.195.56","TLSv1.2","4278","Application Data"
"6112","28.428671307","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"6308","28.493099761","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"6309","28.493099847","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"6550","28.747688288","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"6604","28.833575726","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"7677","29.295512830","157.240.195.56","10.9.2.132","TLSv1.2","2037","Application Data, Application Data"
"7959","29.399901765","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"7960","29.399987131","10.9.2.132","157.240.195.56","TLSv1.2","256","Application Data, Application Data"
"7964","29.401112523","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"7998","29.415121276","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"8016","29.422795519","10.9.2.132","157.240.195.56","TLSv1.2","174","Application Data"
"8573","29.583312377","157.240.195.56","10.9.2.132","TLSv1.2","161","Application Data"
"13297","31.771330592","10.9.2.132","157.240.195.56","TLSv1.2","96","Application Data"
"13298","31.771350305","10.9.2.132","157.240.195.56","TCP","2802","41722  >  443 [PSH, ACK] Seq=41428 Ack=6818 Win=8292 Len=2736 TSval=1553732584 TSecr=2428194876 [TCP segment of a reassembled PDU]"
"13300","31.771905252","10.9.2.132","157.240.195.56","TLSv1.2","1094","Application Data"
"13319","31.978478323","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"13340","32.287281121","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"13342","32.289955934","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"13409","32.640214900","157.240.195.56","10.9.2.132","TLSv1.2","160","Application Data"
"13410","32.641905223","157.240.195.56","10.9.2.132","TLSv1.2","186","Application Data"
"13418","32.647153570","10.9.2.132","157.240.195.56","TLSv1.2","159","Application Data"
"13421","32.660712721","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"18286","34.804037012","157.240.195.56","10.9.2.132","TLSv1.2","145","Application Data"
"41635","41.571410805","157.240.195.56","10.9.2.132","TLSv1.2","143","Application Data"
"43924","42.219367505","157.240.195.56","10.9.2.132","TLSv1.2","1071","Application Data"
"44343","42.334373955","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"50435","44.146840924","10.9.2.132","157.240.195.56","TLSv1.2","136","Application Data"
"53958","45.143318860","10.9.2.132","157.240.195.56","TLSv1.2","281","Application Data"
"54677","45.349888364","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"54678","45.349888472","157.240.195.56","10.9.2.132","TLSv1.2","170","Application Data"
"54749","45.369298367","10.9.2.132","157.240.195.56","TLSv1.2","169","Application Data"
"54811","45.386082247","10.9.2.132","157.240.195.56","TLSv1.2","136","Application Data"
"55562","45.595978298","157.240.195.56","10.9.2.132","TLSv1.2","160","Application Data"
"55571","45.598322885","10.9.2.132","157.240.195.56","TLSv1.2","159","Application Data"
"55630","45.614885206","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"55640","45.617057974","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"57030","46.006646752","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"57042","46.009567929","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"58272","46.355316327","10.9.2.132","157.240.195.56","TLSv1.2","265","Application Data"
"59029","46.574991597","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"59786","46.793910624","157.240.195.56","10.9.2.132","TLSv1.2","160","Application Data"
"59795","46.796122901","10.9.2.132","157.240.195.56","TLSv1.2","159","Application Data"
"59977","46.847660097","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"59986","46.849626849","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"62064","47.441924561","10.9.2.132","157.240.195.56","TLSv1.2","174","Application Data"
"62624","47.600601828","157.240.195.56","10.9.2.132","TLSv1.2","161","Application Data"
"77205","51.729092391","10.9.2.132","157.240.195.56","TLSv1.2","138","Application Data"
"86060","54.310297576","157.240.195.56","10.9.2.132","TLSv1.2","1412","Application Data"
"86357","54.392554932","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"91474","55.860461123","157.240.195.56","10.9.2.132","TLSv1.2","178","Application Data"
"92340","56.112841731","157.240.195.56","10.9.2.132","TLSv1.2","222","Application Data"
"94992","56.862142248","10.9.2.132","157.240.195.56","TLSv1.2","166","Application Data"
"94995","56.862651776","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"99480","58.133527897","157.240.195.56","10.9.2.132","TLSv1.2","128","Application Data"
"101925","58.817893465","157.240.195.56","10.9.2.132","TLSv1.2","126","Application Data"
"112268","61.723047224","10.9.2.132","157.240.195.56","TLSv1.2","138","Application Data"
"130046","66.800794418","10.9.2.132","157.240.195.56","TLSv1.2","129","Application Data"
"130120","66.820834399","10.9.2.132","157.240.195.56","TLSv1.2","136","Application Data"
"130699","66.979782744","157.240.195.56","10.9.2.132","TLSv1.2","138","Application Data"
"140998","69.869592208","157.240.195.56","10.9.2.132","TCP","1434","443  >  41722 [ACK] Seq=11108 Ack=50114 Win=2038 Len=1368 TSval=2428235152 TSecr=1553767793 [TCP segment of a reassembled PDU]"
"141002","69.870494255","157.240.195.56","10.9.2.132","TLSv1.2","938","Application Data, Application Data"
"141264","69.945669174","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"142089","70.175658469","157.240.195.56","10.9.2.132","TLSv1.2","832","Application Data"
"142302","70.234997994","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"143090","70.459188141","157.240.195.56","10.9.2.132","TLSv1.2","317","Application Data"
"143367","70.541668406","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"144139","70.766977624","157.240.195.56","10.9.2.132","TLSv1.2","446","Application Data"
"144339","70.823516131","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"145160","71.051912868","157.240.195.56","10.9.2.132","TLSv1.2","462","Application Data"
"145335","71.100240374","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"147538","71.724252259","10.9.2.132","157.240.195.56","TLSv1.2","138","Application Data"
"174675","79.633235498","10.9.2.132","157.240.195.56","TLSv1.2","129","Application Data"
