"No.","Time","Source","Destination","Protocol","Length","Info"
"12196","95.879926150","10.9.2.132","157.240.195.56","TLSv1.2","140","Application Data"
"12312","97.030418744","157.240.195.56","10.9.2.132","TLSv1.2","318","Application Data"
"12315","97.040284301","10.9.2.132","157.240.195.56","TLSv1.2","168","Application Data"
"12316","97.043723922","10.9.2.132","157.240.195.56","TLSv1.2","143","Application Data"
"13018","104.037675548","157.240.195.56","10.9.2.132","TLSv1.2","147","Application Data"
"13140","105.886149895","10.9.2.132","157.240.195.56","TLSv1.2","140","Application Data"
"13231","107.438701564","10.9.2.132","157.240.195.56","TLSv1.2","138","Application Data"
"13590","108.263367051","10.9.2.132","157.240.195.56","TLSv1.2","137","Application Data"
"13599","108.411761052","157.240.195.56","10.9.2.132","TLSv1.2","139","Application Data"
"13617","108.741594138","10.9.2.132","157.240.195.56","TLSv1.2","1752","Application Data"
"13634","108.897325084","157.240.195.56","10.9.2.132","TLSv1.2","193","Application Data"
"13636","108.914703983","10.9.2.132","157.240.195.56","TLSv1.2","153","Application Data"
"13651","109.069095241","157.240.195.56","10.9.2.132","TLSv1.2","413","Application Data"
"13652","109.072285902","10.9.2.132","157.240.195.56","TLSv1.2","303","Application Data"
"13653","109.100471382","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"13657","109.194915121","157.240.195.56","10.9.2.132","TLSv1.2","225","Application Data"
"13659","109.196774194","157.240.195.56","10.9.2.132","TLSv1.2","165","Application Data"
"13662","109.202327054","157.240.195.56","10.9.2.132","TLSv1.2","164","Application Data"
"13667","109.210233154","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"13669","109.223868002","157.240.195.56","10.9.2.132","TLSv1.2","186","Application Data"
"13672","109.236424893","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"13673","109.236501927","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"13674","109.236729576","10.9.2.132","157.240.195.56","TLSv1.2","163","Application Data"
"13676","109.246738025","10.9.2.132","157.240.195.56","TLSv1.2","1533","Application Data"
"13699","109.404350525","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"13725","109.620730825","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"13727","109.624190716","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"13971","112.133116892","157.240.195.56","10.9.2.132","TLSv1.2","145","Application Data"
"14026","112.771794769","157.240.195.56","10.9.2.132","TLSv1.2","853","Application Data"
"14034","112.818242517","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"14096","113.079910278","157.240.195.56","10.9.2.132","TLSv1.2","180","Application Data"
"14098","113.085703921","10.9.2.132","157.240.195.56","TLSv1.2","168","Application Data"
"14589","118.643527819","10.9.2.132","157.240.195.56","TLSv1.2","140","Application Data"
"14844","120.696664046","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"14845","120.699411628","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"15089","122.854770251","157.240.195.56","10.9.2.132","TLSv1.2","147","Application Data"
"15404","125.164898746","10.9.2.132","157.240.195.56","TLSv1.2","137","Application Data"
"15414","125.313255520","157.240.195.56","10.9.2.132","TLSv1.2","139","Application Data"
"15728","128.630445693","10.9.2.132","157.240.195.56","TLSv1.2","140","Application Data"
"16254","133.100783189","157.240.195.56","10.9.2.132","TLSv1.2","147","Application Data"
"16918","138.645343224","10.9.2.132","157.240.195.56","TLSv1.2","140","Application Data"
"17303","141.935355518","157.240.195.56","10.9.2.132","TLSv1.2","145","Application Data"
"17327","142.488739913","157.240.195.56","10.9.2.132","TLSv1.2","853","Application Data"
"17331","142.538605884","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"17335","142.558445836","10.9.2.132","157.240.195.56","TLSv1.2","176","Application Data"
"17354","142.708790185","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"17385","142.778529767","157.240.195.56","10.9.2.132","TLSv1.2","180","Application Data"
"17387","142.779955536","10.9.2.132","157.240.195.56","TLSv1.2","168","Application Data"
"18022","145.930079394","157.240.195.56","10.9.2.132","TLSv1.2","172","Application Data"
"18023","145.931447321","10.9.2.132","157.240.195.56","TLSv1.2","171","Application Data"
"18552","148.646328725","10.9.2.132","157.240.195.56","TLSv1.2","140","Application Data"
"18612","149.097873202","10.9.2.132","157.240.195.56","TLSv1.2","138","Application Data"
"18782","149.822159337","10.9.2.132","157.240.195.56","TLSv1.2","2227","Application Data"
"18819","149.981010060","157.240.195.56","10.9.2.132","TLSv1.2","179","Application Data"
"18826","150.002736559","157.240.195.56","10.9.2.132","TLSv1.2","147","Application Data"
"18868","150.203387117","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"18869","150.204672944","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"18874","150.222292438","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"18875","150.227168090","157.240.195.56","10.9.2.132","TLSv1.2","164","Application Data"
"18877","150.228883535","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"18880","150.233308703","10.9.2.132","157.240.195.56","TLSv1.2","163","Application Data"
"18887","150.255535076","157.240.195.56","10.9.2.132","TLSv1.2","165","Application Data"
"18889","150.256865572","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"18982","150.826540086","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"18983","150.828964376","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"19085","151.336237107","10.9.2.132","157.240.195.56","TLSv1.2","140","Application Data"
"19148","151.756372300","157.240.195.56","10.9.2.132","TLSv1.2","181","Application Data"
"19149","151.758288701","10.9.2.132","157.240.195.56","TLSv1.2","142","Application Data"
"20373","159.715762852","157.240.195.56","10.9.2.132","TLSv1.2","145","Application Data"
"20494","160.560599973","157.240.195.56","10.9.2.132","TLSv1.2","853","Application Data"
